#label len H_moment C C_dens A_index Aro B_index H_ratio I_index Iep Helix
-1 11 0.524473 1 0.0016426 168.182 0.0909091 -1.19455 0.545455 28.6727 10.709 0.454545
-1 24 0.595962 2 0.000854704 122.083 0 0.915833 0.458333 -6.5 10.4224 0.75
-1 47 0.175734 1 0.000349662 55.9574 0.12766 0.343617 0.319149 6.29574 8.10059 0
1 21 0.356621 2 0.00133917 120.476 0.0952381 -1.24476 0.47619 0.314286 9.76953 0
1 34 0.284936 3 0.000921375 100.294 0.0588235 1.89088 0.470588 36.5294 8.39624 0.5
-1 37 0.427314 3 0.000760878 97.5676 0.108108 1.10135 0.351351 24.6351 10.3945 0.0810811
-1 18 0.715645 4 0.00209578 146.111 0.166667 1.68667 0.5 62.2 11.6885 0.722222
1 23 0.479828 4 0.0017891 126.957 0.173913 1.2613 0.478261 17.3783 11.7002 0.130435
1 33 0.110446 0 0.000255871 112.424 0.030303 0.51697 0.484848 17.4697 8.09082 0.424242
1 37 0.148856 3 0.00100635 102.973 0.027027 0.258378 0.486486 -3.84865 10.0654 0.648649
-1 20 0.868065 7 0.00309374 92.5 0.25 1.34 0.45 -18.265 12.2393 0.55
1 14 0.327795 2 0.00172587 111.429 0.214286 -1.10429 0.714286 6.24286 9.76953 0.571429
-1 9 0.573608 3 0.00271331 43.3333 0.444444 4.00778 0.111111 98.8444 12.4131 0.222222
1 13 0.48918 0 0.000719773 210 0.0769231 -2.33462 0.615385 10.9846 10.0254 0.461538
1 24 0.519172 7 0.00293112 154.583 0 1.52167 0.5 24.3625 12.1558 0.791667
-1 8 0.205085 -1 -0.00125079 133.75 0 -0.00125 0.375 63.675 3.15039 0
1 24 0.47014 6 0.00240597 105.417 0.166667 1.48583 0.416667 17.0708 11.499 0.291667
1 19 0.970188 7 0.0032953 179.474 0.105263 1.21842 0.578947 42.4316 12.4551 0.842105
-1 44 0.0938626 3 0.000655079 48.8636 0.0909091 1.06773 0.295455 -3.28409 8.51416 0
1 21 0.340706 0 0.000442592 148.571 0 -1.40476 0.52381 23.4476 8.09473 0
-1 11 0.109515 -1 -0.000787049 106.364 0.0909091 1.96818 0.363636 -2.84545 3.73242 0
-1 20 0.403228 0 0.000138164 136.5 0.05 -0.3415 0.5 8.06 7.95312 0.15
1 34 0.253153 6 0.00168686 103.529 0.0294118 1.34706 0.411765 10.1912 11.9307 0.411765
1 19 0.960167 9 0.00416399 117.895 0.105263 2.53 0.421053 26.6263 12.4741 0.736842
-1 59 0.140563 0 8.15977e-05 31.3559 0.135593 2.38458 0.305085 38.5525 7.31396 0.0338983
